id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
46825530,Home in Indented Head  4.79  3  7  2,Greater Geelong,-38.14026,144.70038,Entire home/apt,329.0,2,33,0.9,1,78,4
46839978,Guesthouse in Barwon Heads  5.0  1 bedroom  1 bed  1 bath,Greater Geelong,-38.26385,144.49128,Entire home/apt,350.0,3,13,0.36,1,56,3
46843978,Home in Barwon Heads  4.85  6  7  2,Greater Geelong,-38.2684,144.49492,Entire home/apt,1714.0,2,46,1.28,1,11,25
46859073,Home in Princetown  4.83  3  3  3,Corangamite,-38.64116,143.13355,Entire home/apt,300.0,3,6,0.29,2,149,3
46861852,Hostel in Port Fairy  4.30  1 bedroom  6  0 shared,Moyne,-38.38566,142.23848,Private room,314.0,1,10,0.27,11,328,1
46864201,Home in Lorne  4.96  4  6  1 bath,Surf Coast,-38.52928,143.97777,Entire home/apt,850.0,2,49,1.35,1,325,9
46873894,Guest suite in Torquay  4.86  2  2  1 bath,Surf Coast,-38.30688,144.33178,Entire home/apt,378.0,1,50,1.36,1,16,17
46874736,Guesthouse in Lorne  4.17  4  6  2,Surf Coast,-38.54726,143.9745,Private room,447.0,2,6,0.17,587,156,0
46882057,Home in Ocean Grove  4.96  2  2  1 bath,Greater Geelong,-38.26844,144.51511,Entire home/apt,500.0,2,76,2.08,1,143,23
46882879,Home in Torquay  5.0  5  5  3,Surf Coast,-38.31295,144.32152,Entire home/apt,531.0,7,6,0.17,1,59,3
