id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18390664,Home in Anglesea · ★5.0 · 4 bedrooms · 6 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.41324234008789,144.16720581054688,Entire home/apt,650,2,15,2022-08-07,0.19,113,322,0,
18390671,Home in Eastern View · ★4.64 · 4 bedrooms · 6 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.47062683105469,144.0481719970703,Entire home/apt,550,2,11,2023-06-12,0.15,113,342,1,
18390682,Home in Fairhaven · ★4.29 · 4 bedrooms · 7 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.464481353759766,144.0727081298828,Entire home/apt,300,2,7,2022-02-13,0.09,113,332,0,
18390683,Home in Anglesea · ★4.40 · 5 bedrooms · 6 beds · 3 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.40821075439453,144.1842498779297,Entire home/apt,495,2,5,2023-11-19,0.07,113,316,2,
18390688,Home in Aireys Inlet · ★4.83 · 3 bedrooms · 5 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.45671081542969,144.1034393310547,Entire home/apt,600,2,6,2021-11-21,0.08,113,347,0,
18390691,Home in Aireys Inlet · 4 bedrooms · 6 beds · 3 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.45450973510742,144.11221313476562,Entire home/apt,550,2,0,,,113,331,0,
18390701,Home in Eastern View · 3 bedrooms · 4 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.47041702270508,144.04928588867188,Entire home/apt,395,2,0,,,113,285,0,
18390706,Home in Anglesea · 4 bedrooms · 6 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.414390563964844,144.18197631835938,Entire home/apt,750,2,0,,,113,179,0,
18390722,Home in Anglesea · ★4.67 · 4 bedrooms · 7 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.41323,144.1749,Entire home/apt,500,2,12,2022-09-25,0.15,113,339,0,
18390729,Home in Anglesea · 3 bedrooms · 4 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.41487121582031,144.17332458496094,Entire home/apt,425,3,0,,,113,179,0,
18390741,Home in Fairhaven · 4 bedrooms · 5 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.464962005615234,144.07839965820312,Entire home/apt,450,2,0,,,113,331,0,
18390752,Rental unit in Torquay · 2 bedrooms · 3 beds · 1 bath,98362024,Great Ocean Retreats,,Surf Coast,-38.33820343017578,144.32223510742188,Entire home/apt,375,2,1,2023-02-05,0.09,113,324,1,
18390763,Home in Fairhaven · 3 bedrooms · 5 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.46489334106445,144.07867431640625,Entire home/apt,400,2,0,,,113,341,0,
18390765,Home in Aireys Inlet · ★5.0 · 4 bedrooms · 5 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.46229553222656,144.10205078125,Entire home/apt,450,2,4,2022-12-10,0.11,113,301,0,
18390766,Home in Aireys Inlet · 3 bedrooms · 4 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.464256286621094,144.09898376464844,Entire home/apt,425,3,1,2023-02-04,0.09,113,312,1,
18390770,Home in Aireys Inlet · ★4.33 · 3 bedrooms · 3 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.45699691772461,144.1094207763672,Entire home/apt,400,2,3,2023-02-16,0.06,113,326,1,
18390773,Home in Anglesea · ★4.0 · 3 bedrooms · 4 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.41151,144.1819,Entire home/apt,450,2,6,2023-04-10,0.08,113,340,1,
18390776,Home in Fairhaven · 3 bedrooms · 4 beds · 2 baths,98362024,Great Ocean Retreats,,Surf Coast,-38.464141845703125,144.0805206298828,Entire home/apt,425,2,1,2021-03-08,0.03,113,340,0,
